Date,Open,High,Low,Close,Adj Close,Volume
2019-11-01,3417.600098,3446.75,3411.899902,3441.699951,3441.699951,1956400.0
2019-11-04,3454.550049,3502.300049,3453.600098,3479.399902,3479.399902,2208700.0
2019-11-05,3490.5,3492.850098,3445.0,3448.800049,3448.800049,1606200.0
2019-11-06,3449.5,3466.649902,3435.050049,3451.600098,3451.600098,1455900.0
2019-11-07,3467.100098,3468.399902,3433.0,3452.850098,3452.850098,1976100.0
2019-11-08,3443.399902,3446.800049,3389.5,3396.550049,3396.550049,1847100.0
2019-11-11,3397.149902,3406.050049,3375.100098,3394.399902,3394.399902,1802000.0
2019-11-13,3395.300049,3413.449951,3356.5,3362.149902,3362.149902,1884400.0
2019-11-14,3357.449951,3362.0,3324.149902,3336.850098,3336.850098,1625100.0
2019-11-15,3346.300049,3359.100098,3322.850098,3328.649902,3328.649902,1550900.0
2019-11-18,3341.350098,3369.75,3335.649902,3359.800049,3359.800049,1622100.0
2019-11-19,3369.199951,3371.699951,3350.899902,3366.0,3366.0,1214900.0
2019-11-20,3386.300049,3404.449951,3378.850098,3392.5,3392.5,1774300.0
2019-11-21,3399.350098,3399.350098,3328.75,3332.649902,3332.649902,1600800.0
2019-11-22,3336.75,3368.5,3334.800049,3362.899902,3362.899902,1711900.0
2019-11-25,3372.199951,3414.300049,3370.449951,3409.649902,3409.649902,1870500.0
2019-11-26,3419.449951,3432.699951,3377.899902,3384.600098,3384.600098,2473000.0
2019-11-27,3386.800049,3423.550049,3385.300049,3419.800049,3419.800049,1299500.0
2019-11-28,3424.649902,3465.149902,3416.600098,3461.550049,3461.550049,1751600.0
2019-11-29,3459.699951,3473.149902,3423.850098,3431.899902,3431.899902,1571900.0
2019-12-02,3451.350098,3451.600098,3423.149902,3431.850098,3431.850098,1454800.0
2019-12-03,3434.600098,3435.25,3374.75,3379.699951,3379.699951,1402200.0
2019-12-04,3364.600098,3396.600098,3350.350098,3393.850098,3393.850098,1761400.0
2019-12-05,3394.649902,3401.949951,3348.300049,3353.0,3353.0,1253200.0
2019-12-06,3362.850098,3369.050049,3321.149902,3334.25,3334.25,1301900.0
2019-12-09,3339.699951,3367.300049,3325.850098,3349.699951,3349.699951,1277500.0
2019-12-10,3348.399902,3354.350098,3294.75,3297.699951,3297.699951,1318500.0
2019-12-11,3302.75,3314.100098,3279.600098,3308.149902,3308.149902,1246500.0
2019-12-12,3323.449951,3355.199951,3317.600098,3343.949951,3343.949951,1369100.0
2019-12-13,3375.199951,3389.949951,3365.0,3385.300049,3385.300049,1873900.0
2019-12-16,3394.600098,3398.5,3348.25,3350.949951,3350.949951,1204800.0
2019-12-17,3357.0,3395.899902,3346.25,3390.600098,3390.600098,1943100.0
2019-12-18,3390.649902,3399.949951,3378.699951,3387.300049,3387.300049,1886400.0
2019-12-19,3382.300049,3400.850098,3375.699951,3395.949951,3395.949951,1501000.0
2019-12-20,3398.25,3414.050049,3393.100098,3407.350098,3407.350098,1985300.0
2019-12-23,3397.350098,3426.75,3389.850098,3398.75,3398.75,1760700.0
2019-12-24,3407.399902,3413.399902,3389.949951,3394.199951,3394.199951,1276400.0
2019-12-26,3394.600098,3404.100098,3382.199951,3389.649902,3389.649902,2051600.0
2019-12-27,3405.350098,3425.350098,3393.449951,3421.649902,3421.649902,1272300.0
2019-12-30,3427.5,3437.600098,3405.0,3435.350098,3435.350098,1216000.0
2019-12-31,3430.25,3447.800049,3428.550049,3432.100098,3432.100098,1309100.0
2020-01-01,3438.699951,3446.199951,3420.449951,3437.850098,3437.850098,1062900.0
2020-01-02,3448.149902,3503.649902,3446.75,3500.300049,3500.300049,2380900.0
2020-01-03,3496.0,3497.350098,3465.649902,3477.5,3477.5,1872900.0
2020-01-06,3456.800049,3461.5,3398.300049,3403.600098,3403.600098,1521400.0
2020-01-07,3420.199951,3452.300049,3412.899902,3434.399902,3434.399902,1794200.0
2020-01-08,3398.600098,3434.399902,3391.399902,3427.899902,3427.899902,1796900.0
2020-01-09,3472.949951,3484.0,3461.0,3477.550049,3477.550049,1730500.0
2020-01-10,3490.699951,3521.649902,3472.0,3501.149902,3501.149902,1860700.0
2020-01-13,3508.75,3528.0,3508.75,3524.600098,3524.600098,1256800.0
2020-01-14,3529.600098,3543.199951,3518.550049,3533.600098,3533.600098,1585700.0
2020-01-15,3528.300049,3545.949951,3505.649902,3542.850098,3542.850098,1572800.0
2020-01-16,3546.649902,3548.949951,3507.399902,3514.5,3514.5,1430800.0
2020-01-17,3507.649902,3531.800049,3503.050049,3516.050049,3516.050049,1270300.0
2020-01-20,3525.399902,3525.649902,3472.899902,3474.699951,3474.699951,2556300.0
2020-01-21,3469.5,3480.800049,3448.800049,3452.350098,3452.350098,1800.0
2020-01-22,3459.25,3460.850098,3405.25,3410.800049,3410.800049,2900.0
2020-01-23,3417.300049,3447.649902,3410.899902,3440.949951,3440.949951,6155700.0
2020-01-24,3448.050049,3476.5,3438.0,3468.300049,3468.300049,1791300.0
